Sample_ID	Sample	Nest	Linage	d_medium	Treatment	d_treatment	age_treatment_d	d_sampling	age_sampling_d	weight_mg	eggs	larvae	1st_adult	note	Sample_or_Control	Group
B16-01a	B16-01a	B16-01	B16	09.07.2018	removal	21.07.2018	12	10.08.2018	32	70	n	n	NA	NA	True Sample	Bacteria
B16-31a	B16-31a	B16-31	B16	16.07.2018	removal	23.07.2018	7	15.08.2018	30	180	n	n	NA	NA	True Sample	Bacteria
B20-04a	B20-04a	B20-04	B20	09.07.2018	removal	23.07.2018	14	13.08.2018	35	110	n	n	NA	NA	True Sample	Bacteria
B20-08a	B20-08a	B20-08	B20	10.07.2018	removal	21.07.2018	11	10.08.2018	31	40	y	y	NA	still_larvae_26.7.	True Sample	Bacteria
B23-23a	B23-23a	B23-23	B23	09.08.2018	removal	17.08.2018	8	10.09.2018	32	70	n	n	NA	f_fell_into_hood_and_vanished	True Sample	Bacteria
B24-02a	B24-02a	B24-02	B24	13.07.2018	removal	24.07.2018	11	14.08.2018	32	70	n	n	NA	NA	True Sample	Bacteria
B24-26a	B24-26a	B24-26	B24	09.08.2018	removal	14.08.2018	5	10.09.2018	32	120	n	n	NA	NA	True Sample	Bacteria
B24-28a	B24-28a	B24-28	B24	09.08.2018	removal	14.08.2018	5	10.09.2018	32	100	y	n	NA	NA	True Sample	Bacteria
B36-14a	B36-14a	B36-14	B36	03.08.2018	removal	08.08.2018	5	22.08.2018	19	140	y	n	NA	NA	True Sample	Bacteria
B36-31a	B36-31a	B36-31	B36	09.08.2018	removal	14.08.2018	5	10.09.2018	32	140	n	n	NA	NA	True Sample	Bacteria
B39-17a	B39-17a	B39-17	B39	03.08.2018	removal	13.08.2018	10	03.09.2018	31	100	y	n	NA	NA	True Sample	Bacteria
B7-08a	B7-08a	B7-08	B7	12.07.2018	removal	24.07.2018	12	14.08.2018	33	70	n	n	NA	NA	True Sample	Bacteria
medium2	medium2	medium	medium	NA	medium	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control Sample	Bacteria
standard2	standard2	standard	standard	NA	standard	NA	NA	NA	NA	NA	NA	NA	NA	NA	True Sample	Bacteria
negative2	negative2	negative	negative	NA	negative	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control Sample	Bacteria
